filename,width,height,class,xmin,ymin,xmax,ymax
IMG_20220322_203742_BURST075_jpg.rf.fcbc0ec3df3203abc987a4b669f8cd34.jpg,416,416,nasi goreng,37,121,265,396
IMG_20220313_112846_BURST047_jpg.rf.fe63f6623dd15482a66691f15814043f.jpg,416,416,ayam goreng,111,155,375,407
IMG_20220313_112846_BURST047_jpg.rf.fe63f6623dd15482a66691f15814043f.jpg,416,416,kecap,236,252,405,378
IMG_20220313_112846_BURST042_jpg.rf.fcf708ca3fa392290aed2030f1c203e2.jpg,416,416,ayam goreng,152,28,390,289
IMG_20220313_112846_BURST042_jpg.rf.fcf708ca3fa392290aed2030f1c203e2.jpg,416,416,kecap,230,11,358,157
IMG_20220331_135210_1_jpg.rf.fce032f360d21e4caf9f68407b5a54dd.jpg,416,416,ayam goreng,39,74,329,336
IMG_20220331_135210_1_jpg.rf.fce032f360d21e4caf9f68407b5a54dd.jpg,416,416,nasi putih,19,209,200,413
IMG_20220313_112846_BURST045_jpg.rf.ffe7ad092ac4288fc09b1a433bc79553.jpg,416,416,ayam goreng,17,121,253,377
IMG_20220313_112846_BURST045_jpg.rf.ffe7ad092ac4288fc09b1a433bc79553.jpg,416,416,kecap,45,249,175,412
IMG_20220324_190625_BURST080_jpg.rf.fd02e38d4acd2b52a9cb65a55e9ac968.jpg,416,416,nasi putih,319,233,407,339
IMG_20220324_190625_BURST080_jpg.rf.fd02e38d4acd2b52a9cb65a55e9ac968.jpg,416,416,nasi putih,136,56,180,103
IMG_20220324_190625_BURST080_jpg.rf.fd02e38d4acd2b52a9cb65a55e9ac968.jpg,416,416,nasi putih,30,114,90,182
IMG_20220324_190625_BURST029_jpg.rf.fed94255c839f7f636b05a6a270dfa6e.jpg,416,416,nasi putih,13,276,99,388
IMG_20220324_190625_BURST029_jpg.rf.fed94255c839f7f636b05a6a270dfa6e.jpg,416,416,nasi putih,258,4,312,66
IMG_20220324_190625_BURST029_jpg.rf.fed94255c839f7f636b05a6a270dfa6e.jpg,416,416,nasi putih,340,132,410,221
IMG_20220322_203804_BURST045_jpg.rf.fcd67cf0349fb8feaf45fb0124a1cfad.jpg,416,416,nasi goreng,211,130,409,340
